title,tags,genre,actor,language,rating,image_file
Asur,myth thriller murder cbi sacrifice,thriller,arshad warsi,hindi,8.5,asur.jpg
Panchayat,village comedy drama rural life,comedy,jitendra kumar,hindi,9.1,panchayat.jpg
Sacred Games,crime thriller politics police gang,crime,nawazuddin siddiqui,hindi,8.6,sacred_games.jpg
Mirzapur,mafia revenge violence drugs,action,pankaj tripathi,hindi,8.5,mirzapur.jpg
The Family Man,agent spy terrorism family mission,action,manoj bajpayee,tamil,8.7,the_family_man.jpg
Special Ops,espionage mission patriot raw terrorism,espionage,kay kay menon,hindi,8.6,spacial_ops.jpg
Scam 1992,stock market scam fraud finance biography,biography,pratik gandhi,hindi,9.3,scam1992.jpg
Delhi Crime,true story police crime justice delhi,crime,shefali shah,hindi,8.5,delhicrimes.jpg
Made in Heaven,luxury wedding drama secrets romance,drama,sobhita dhulipala,hindi,8.3,madeinheaven.jpg
Breathe,cop thriller investigation mystery family,thriller,r. madhavan,hindi,8.3,breathe.jpg
Rocket Boys,science biography patriotism india history,biography,jim sarbh,hindi,8.9,rocketboys.jpg
Taj,historic mughal war politics betrayal,historical,dharmendra,hindi,7.5,taj.jpg
Rana Naidu,action drama crime family underworld,crime,rana daggubati,hindi,7.0,rananaidu.jpg
Class,teen thriller mystery school elite betrayal,mystery,gurfateh pirzada,hindi,6.8,class.jpg
Kota Factory,engineering student kota black white drama,drama,mayur more,hindi,9.2,kotafactory.jpg
Farzi,fake currency thriller scam action,thriller,shahid kapoor,english,8.4,farzi.jpg
Mumbai Diaries,hospital doctor crisis medical emergency,medical,mohit raina,tamil,7.9,mumbaidiaries.jpg
Inception,dream mind sci-fi action,sci-fi,leonardo dicaprio,english,8.8,inception.jpg
Avengers,superhero marvel team fight,action,robert downey jr.,english,8.4,avengers.jpg
Interstellar,space time travel sci-fi,sci-fi,matthew mcconaughey,english,8.6,interstellar.jpg
The Matrix,virtual reality hacker fight,sci-fi,keanu reeves,english,8.7,thematrix.jpg
Jumanji,jungle game fun comedy,adventure,dwayne johnson,english,7.0,jumanji.jpg
Iron Man,superhero iron suit tech,action,robert downey jr.,english,8.4,ironman.jpg
Spider-Man,web marvel teenager hero,action,tobey maguire,english,8.3,spiderman.jpg
Doctor Strange,magic time stone marvel,action,benedict cumberbatch,english,7.5,doctostrange.jpg
Batman Begins,dark knight superhero dc,action,christian bale,english,8.2,batmanbegins.jpg
Captain America,patriot superhero soldier,action,chris evans,english,7.9,captainamerica.jpg
Bhagam Bhag,comedy chaos mistaken identity,comedy,akshay kumar,hindi,7.5,bhagambhag.jpg
Welcome,comedy chaos romance family,comedy,akshay kumar,hindi,7.0,welcome.jpg
Bhool Bhulaiyya 2,horror comedy romance supernatural,comedy,kartik aaryan,hindi,7.2,bhoolbhulaiyya2.jpg
Golmal 3,comedy chaos family fun,comedy,ajay devgn,hindi,6.9,golmal3.jpg
The Conjuring,horror supernatural investigation demon,horror,patrick wilson,english,8.2,theconjuring.jpg
The Nun,horror demon nun mind,horror,taissa farmiga,english,6.5,thenun.jpg
IT,horror clown investigation scary,horror,bill skarsgård,english,7.3,it.jpg
Annabelle,horror doll supernatural investigation,horror,annabelle wallis,english,6.5,annabelle.jpg
Tumbadd,horror supernatural mind greed,horror,sohum shah,hindi,8.2,tumbadd.jpg
Stree,horror comedy supernatural village,horror,raajkummar rao,hindi,7.6,stree.jpg
Insidious,horror supernatural investigation family,horror,patrick wilson,english,7.6,insidious.jpg
Sam Bahadur,war drama soldier bravery sacrifice,war,vicky kaushal,hindi,8.0,sambahadur.jpg
Uri: The Surgical Strike,war action army mission patriotism,war,vicky kaushal,hindi,8.4,uri.jpg
Shershaah,war biography soldier love sacrifice,war,sidharth malhotra,hindi,8.7,shershah.jpg
