title,tags,genre,actor,language,rating
Asur,"myth thriller murder cbi sacrifice",Thriller,Arshad Warsi,Hindi,8.5
Panchayat,"village comedy drama rural life",Comedy,Jitendra Kumar,Hindi,9.1
Sacred Games,"crime thriller politics police gang",Crime,Nawazuddin Siddiqui,Hindi,8.6
Mirzapur,"mafia revenge violence drugs",Action,Pankaj Tripathi,Hindi,8.5
The Family Man,"agent spy terrorism family mission",Action,Manoj Bajpayee,Tamil,8.7
Special Ops,"espionage mission patriot RAW terrorism",Espionage,Kay Kay Menon,Hindi,8.6
Scam 1992,"stock market scam fraud finance biography",Biography,Pratik Gandhi,Hindi,9.3
Delhi Crime,"true story police crime justice delhi",Crime,Shefali Shah,Hindi,8.5
Made in Heaven,"luxury wedding drama secrets romance",Drama,Sobhita Dhulipala,Hindi,8.3
Breathe,"cop thriller investigation mystery family",Thriller,R. Madhavan,Hindi,8.3
Rocket Boys,"science biography patriotism india history",Biography,Jim Sarbh,Hindi,8.9
Taj,"historic mughal war politics betrayal",Historical,Dharmendra,Hindi,7.5
Rana Naidu,"action drama crime family underworld",Crime,Rana Daggubati,Hindi,7.0
Class,"teen thriller mystery school elite betrayal",Mystery,Gurfateh Pirzada,Hindi,6.8
Kota Factory,"engineering student kota black white drama",Drama,Mayur More,Hindi,9.2
Farzi,"fake currency thriller scam action",Thriller,Shahid Kapoor,English,8.4
Mumbai Diaries,"hospital doctor crisis medical emergency",Medical,Mohit Raina,Tamil,7.9
Inception,"dream mind sci-fi action",Sci-Fi,Leonardo DiCaprio,English,8.8
Avengers,"superhero marvel team fight",Action,Robert Downey Jr.,English,8.4
Interstellar,"space time travel sci-fi",Sci-Fi,Matthew McConaughey,English,8.6
The Matrix,"virtual reality hacker fight",Sci-Fi,Keanu Reeves,English,8.7
Jumanji,"jungle game fun comedy",Adventure,Dwayne Johnson,English,7.0
Iron Man,"superhero iron suit tech",Action,Robert Downey Jr.,English,8.4
Spider-Man,"web marvel teenager hero",Action,Tobey Maguire,English,8.3
Doctor Strange,"magic time stone marvel",Action,Benedict Cumberbatch,English,7.5
Batman Begins,"dark knight superhero dc",Action,Christian Bale,English,8.2
Captain America,"patriot superhero soldier",Action,Chris Evans,English,7.9
Bhagam Bhag,"comedy chaos mistaken identity",Comedy,Akshay Kumar,Hindi,7.5
Welcome,"comedy chaos romance family",Comedy,Akshay Kumar,Hindi,7.0
Bhool Bhulaiyya 2,"horror comedy romance supernatural",Comedy,Kartik Aaryan,Hindi,7.2
Golmal 3,"comedy chaos family fun",Comedy,Ajay Devgn,Hindi,6.9
The Conjuring,"horror supernatural investigation demon ",Horror,Patrick Wilson,English,8.2
The Nun,"horror demon nun mind ",Horror,Taissa Farmiga,English,6.5
IT,"horror clown investigation scary",Horror,Bill Skarsgård,English,7.3
Annabelle,"horror doll supernatural investigation",Horror,Annabelle Wallis,English,6.5
Tumbadd,"horror supernatural mind greed",Horror,Sohum Shah,Hindi,8.2
Stree,"horror comedy supernatural village",Horror,Raajkummar Rao,Hindi,7.6
Insidious,"horror supernatural investigation family",Horror,Patrick Wilson,English,6.8
Sam Bahadur,"war drama soldier bravery sacrifice",War,Vicky Kaushal,Hindi,8.0
Uri: The Surgical Strike,"war action army mission patriotism",War,Vicky Kaushal,Hindi,8.4
Shershaah,"war biography soldier love sacrifice",War,Sidharth Malhotra,Hindi,8.7
